Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Harvard University;Doctor's degree research and practice;Private not-for-profit;35023;2047;1659;42292;28297
Lasell College;Master's degree;Private not-for-profit;3584;2729;485;30000;2081
Lesley University;Doctor's degree research;Private not-for-profit;2605;1758;316;32375;5195
Massachusetts Institute of Technology;Doctor's degree research;Private not-for-profit;18989;1548;1115;43498;11301
Mount Ida College;Master's degree;Private not-for-profit;2371;1438;307;29377;1288
Newbury College;Bachelor's degree;Private not-for-profit;4915;2926;270;28950;962
Nichols College;Master's degree;Private not-for-profit;2499;2011;414;32370;1459
Northeastern University;Doctor's degree research and practice;Private not-for-profit;47364;15301;2891;41686;20053
College of Our Lady of the Elms;Master's degree;Private not-for-profit;993;744;198;30132;1678
Pine Manor College;Master's degree;Private not-for-profit;535;343;119;24930;346
Simmons College;Doctor's degree research and practice;Private not-for-profit;4239;2076;339;35380;4655
Springfield College;Doctor's degree research and practice;Private not-for-profit;2231;1560;513;32560;3255
Stonehill College;Bachelor's degree;Private not-for-profit;6548;4643;610;36160;2481
Suffolk University;Doctor's degree research and practice;Private not-for-profit;9275;7652;1188;31716;8675
Tufts University;Doctor's degree research and practice;Private not-for-profit;18419;3471;1314;46598;10872
Wellesley College;Bachelor's degree;Private not-for-profit;4765;1387;595;43554;2474
Wentworth Institute of Technology;Master's degree;Private not-for-profit;6146;3541;900;29200;4179
Western New England University;Doctor's degree research and practice;Private not-for-profit;5988;4881;697;33020;3800
Wheelock College;Master's degree;Private not-for-profit;1570;1149;217;31880;1378
Williams College;Master's degree;Private not-for-profit;7069;1203;547;46600;2150
Adrian College;Master's degree;Private not-for-profit;4675;2631;496;30758;1658
Albion College;Bachelor's degree;Private not-for-profit;4430;2498;346;36051;1307
Alma College;Bachelor's degree;Private not-for-profit;2699;1833;376;32660;1419
Andrews University;Doctor's degree research;Private not-for-profit;2551;957;388;25470;3516
Calvin College;Master's degree;Private not-for-profit;4003;2792;1006;28250;4034
University of Detroit Mercy;Doctor's degree research and practice;Private not-for-profit;3670;2256;481;35920;5112
Kettering University;Master's degree;Private not-for-profit;2140;1318;372;35600;1985
Cornerstone University;Master's degree;Private not-for-profit;2349;1599;362;24168;2809
Hope College;Bachelor's degree;Private not-for-profit;4161;3018;822;28720;3388
Kalamazoo College;Bachelor's degree;Private not-for-profit;2528;1691;454;39450;1458
Lawrence Technological University;Doctor's degree research;Private not-for-profit;1819;794;341;28948;4002
