Name;Higher.degree;Type;Total.applicants;Total.eligibles;Total.qualified;Tuition.fees;Total.students
Wheelock College;Master's degree;Private not-for-profit;1570;1149;217;31880;1378
Barnard College;Bachelor's degree;Private not-for-profit;5606;1151;580;44790;2489
Oklahoma Wesleyan University;Master's degree;Private not-for-profit;2335;1152;187;22252;1355
Saint Mary's University of Minnesota;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1551;1161;318;29315;5528
Eastern University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1821;1167;459;28090;4004
University of Pittsburgh-Greensburg;Bachelor's degree;Public;1262;1175;394;13128;1677
Marian University;Doctor's degree professional practice;Private not-for-profit;2064;1196;338;28400;2714
Williams College;Master's degree;Private not-for-profit;7069;1203;547;46600;2150
Earlham College;Master's degree;Private not-for-profit;1890;1204;254;41450;1159
College of Saint Elizabeth;Doctor's degree  research scholarship;Private not-for-profit;2496;1207;124;31095;1552
Culver-Stockton College;Master's degree;Private not-for-profit;2040;1209;220;23300;843
University of Montevallo;Master's degree;Public;1385;1209;531;10000;3062
Paine College;Bachelor's degree;Private not-for-profit;2771;1213;268;13332;924
Maryville University of Saint Louis;Doctor's degree  research scholarship;Private not-for-profit;1595;1214;409;25002;5033
Davidson College;Bachelor's degree;Private not-for-profit;4745;1215;483;42849;1788
Defiance College;Master's degree;Private not-for-profit;1704;1220;241;28690;989
Ouachita Baptist University;Bachelor's degree;Private not-for-profit;1740;1220;394;22370;1543
Barton College;Master's degree;Private not-for-profit;2933;1225;217;25396;1065
University of Hawaii at Hilo;Doctor's degree  research scholarship and professional practice;Public;1633;1228;461;6536;4043
Saint Joseph's College of Maine;Master's degree;Private not-for-profit;1580;1229;290;30990;1614
Concord University;Master's degree;Public;2698;1233;529;6160;2767
Birmingham Southern College;Bachelor's degree;Private not-for-profit;1931;1240;356;30690;1188
Mills College;Doctor's degree  research scholarship;Private not-for-profit;1827;1242;217;41494;1595
Lycoming College;Bachelor's degree;Private not-for-profit;1737;1244;347;33746;1307
Oklahoma Christian University;Master's degree;Private not-for-profit;1984;1254;533;18800;2421
Southeastern University;Master's degree;Private not-for-profit;2124;1260;865;19986;3434
Augsburg College;Doctor's degree professional practice;Private not-for-profit;2072;1261;380;33209;3554
Husson University;Doctor's degree professional practice;Private not-for-profit;1581;1263;444;15130;3049
Walsh University;Doctor's degree professional practice;Private not-for-profit;1640;1265;493;25840;2963
Transylvania University;Bachelor's degree;Private not-for-profit;1326;1275;294;31560;1082
Saint Francis University;Doctor's degree professional practice;Private not-for-profit;1679;1277;403;29992;2344
Colorado College;Master's degree;Private not-for-profit;5780;1288;522;44222;2061
Limestone College;Master's degree;Private not-for-profit;2424;1290;451;22080;3307
Loras College;Master's degree;Private not-for-profit;1873;1293;414;28852;1621
Yeshiva University;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1575;1294;857;37600;6747
Delaware Valley College;Master's degree;Private not-for-profit;1895;1295;416;32890;2023
University of Missouri-St Louis;Doctor's degree  research scholarship and professional practice;Public;1755;1302;482;9474;16809
Mississippi College;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1936;1303;598;14868;4921
Doane College-Crete;Bachelor's degree;Private not-for-profit;1822;1307;287;26180;1113
American International College;Doctor's degree  research scholarship and professional practice;Private not-for-profit;1928;1307;346;30040;3657
Catawba College;Master's degree;Private not-for-profit;3226;1309;342;26820;1310
Ohio Dominican University;Master's degree;Private not-for-profit;2652;1310;239;28932;2573
Saint Mary's College;Bachelor's degree;Private not-for-profit;1529;1310;437;34600;1479
Saint Johns University;Master's degree;Private not-for-profit;1747;1313;497;37162;1979
Immaculata University;Doctor's degree  research scholarship;Private not-for-profit;1650;1314;247;30740;3675
